source_superclass,target_superclass,edges,contacts
cb_efferent,cb_efferent,4,8
cb_efferent,cb_endocrine,9,11
cb_efferent,cb_intrinsic,18,23
cb_efferent,cb_motor,0,0
cb_efferent,cb_sensory,0,0
cb_efferent,cb_sensory_tbc,0,0
cb_efferent,descending_neuron,18,26
cb_efferent,descending_neuron_tbc,0,0
cb_efferent,visual_centrifugal,0,0
cb_efferent,visual_projection,0,0
cb_efferent,visual_projection_tbc,0,0
cb_endocrine,cb_efferent,3,3
cb_endocrine,cb_endocrine,314,596
cb_endocrine,cb_intrinsic,733,2037
cb_endocrine,cb_motor,0,0
cb_endocrine,cb_sensory,6,6
cb_endocrine,cb_sensory_tbc,0,0
cb_endocrine,descending_neuron,94,189
cb_endocrine,descending_neuron_tbc,0,0
cb_endocrine,visual_centrifugal,3,6
cb_endocrine,visual_projection,3,3
cb_endocrine,visual_projection_tbc,0,0
cb_intrinsic,cb_efferent,42,104
cb_intrinsic,cb_endocrine,6890,45475
cb_intrinsic,cb_intrinsic,6815307,34365451
cb_intrinsic,cb_motor,12638,197543
cb_intrinsic,cb_sensory,103671,371813
cb_intrinsic,cb_sensory_tbc,173,1014
cb_intrinsic,descending_neuron,299360,2732731
cb_intrinsic,descending_neuron_tbc,0,0
cb_intrinsic,visual_centrifugal,78811,527967
cb_intrinsic,visual_projection,142393,680696
cb_intrinsic,visual_projection_tbc,9,46
cb_motor,cb_efferent,0,0
cb_motor,cb_endocrine,7,26
cb_motor,cb_intrinsic,5912,27932
cb_motor,cb_motor,985,6906
cb_motor,cb_sensory,111,248
cb_motor,cb_sensory_tbc,8,31
cb_motor,descending_neuron,1655,2995
cb_motor,descending_neuron_tbc,0,0
cb_motor,visual_centrifugal,122,195
cb_motor,visual_projection,38,59
cb_motor,visual_projection_tbc,0,0
cb_sensory,cb_efferent,2,2
cb_sensory,cb_endocrine,107,1457
cb_sensory,cb_intrinsic,250103,1785104
cb_sensory,cb_motor,689,5117
cb_sensory,cb_sensory,96092,252504
cb_sensory,cb_sensory_tbc,40,96
cb_sensory,descending_neuron,23338,138543
cb_sensory,descending_neuron_tbc,0,0
cb_sensory,visual_centrifugal,947,2718
cb_sensory,visual_projection,10,17
cb_sensory,visual_projection_tbc,0,0
cb_sensory_tbc,cb_efferent,0,0
cb_sensory_tbc,cb_endocrine,0,0
cb_sensory_tbc,cb_intrinsic,369,2794
cb_sensory_tbc,cb_motor,15,142
cb_sensory_tbc,cb_sensory,53,111
cb_sensory_tbc,cb_sensory_tbc,1,2
cb_sensory_tbc,descending_neuron,95,811
cb_sensory_tbc,descending_neuron_tbc,0,0
cb_sensory_tbc,visual_centrifugal,1,1
cb_sensory_tbc,visual_projection,0,0
cb_sensory_tbc,visual_projection_tbc,0,0
descending_neuron,cb_efferent,26,73
descending_neuron,cb_endocrine,473,2271
descending_neuron,cb_intrinsic,177652,864574
descending_neuron,cb_motor,5971,110000
descending_neuron,cb_sensory,3326,10495
descending_neuron,cb_sensory_tbc,34,199
descending_neuron,descending_neuron,75273,598721
descending_neuron,descending_neuron_tbc,3,22
descending_neuron,visual_centrifugal,7346,38769
descending_neuron,visual_projection,4489,8439
descending_neuron,visual_projection_tbc,0,0
descending_neuron_tbc,cb_efferent,0,0
descending_neuron_tbc,cb_endocrine,0,0
descending_neuron_tbc,cb_intrinsic,0,0
descending_neuron_tbc,cb_motor,0,0
descending_neuron_tbc,cb_sensory,0,0
descending_neuron_tbc,cb_sensory_tbc,0,0
descending_neuron_tbc,descending_neuron,6,8
descending_neuron_tbc,descending_neuron_tbc,0,0
descending_neuron_tbc,visual_centrifugal,0,0
descending_neuron_tbc,visual_projection,0,0
descending_neuron_tbc,visual_projection_tbc,0,0
visual_centrifugal,cb_efferent,1,1
visual_centrifugal,cb_endocrine,2,2
visual_centrifugal,cb_intrinsic,50929,144766
visual_centrifugal,cb_motor,152,277
visual_centrifugal,cb_sensory,195,294
visual_centrifugal,cb_sensory_tbc,1,1
visual_centrifugal,descending_neuron,4833,19535
visual_centrifugal,descending_neuron_tbc,0,0
visual_centrifugal,visual_centrifugal,11629,63616
visual_centrifugal,visual_projection,97278,439005
visual_centrifugal,visual_projection_tbc,3,5
visual_projection,cb_efferent,0,0
visual_projection,cb_endocrine,26,52
visual_projection,cb_intrinsic,551521,3847546
visual_projection,cb_motor,389,6387
visual_projection,cb_sensory,2,12
visual_projection,cb_sensory_tbc,0,0
visual_projection,descending_neuron,28999,291793
visual_projection,descending_neuron_tbc,0,0
visual_projection,visual_centrifugal,49194,267179
visual_projection,visual_projection,551099,1613964
visual_projection,visual_projection_tbc,30,50
visual_projection_tbc,cb_efferent,0,0
visual_projection_tbc,cb_endocrine,0,0
visual_projection_tbc,cb_intrinsic,20,43
visual_projection_tbc,cb_motor,0,0
visual_projection_tbc,cb_sensory,0,0
visual_projection_tbc,cb_sensory_tbc,0,0
visual_projection_tbc,descending_neuron,1,1
visual_projection_tbc,descending_neuron_tbc,0,0
visual_projection_tbc,visual_centrifugal,0,0
visual_projection_tbc,visual_projection,33,95
visual_projection_tbc,visual_projection_tbc,0,0
